track,artist,album
Without You,Lana Del Rey,Born To Die (Deluxe Version)
The Wrong Place,Hooverphonic,The Wrong Place
xanny,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Yabancı,Sıla,Yeni Ay
Yağma Yağmur,Ezginin Günlügü,Eski Arkadaş
"Yağmur, Teşekkürler",mor ve ötesi,Güneşi Beklerken
Yalan,Candan Erçetin,Çapkın
Yalan,Aleyna Tilki,Yalan
Yalnızca Sitem,Sezen Aksu,Git
Yalnız Kuş,Göksel,Bende Bi' Aşk Var
Yalnızlık Senfonisi,Sezen Aksu,Düş Bahçeleri
Yalnızlık Senfonisi,Model,Diğer Masallar
Yanarım,Sertab Erener,Sertab Erener
Yan Benimle,Sıla,Mürekkep
Yandı İçim,Sezen Aksu,Yandı İçim
Yan Kalbim,Ezginin Günlügü,Dargın Mıyız
Yankı,Simge,Yankı
Yansın İstanbul,Sezen Aksu,DEMO
Yaprak Dökümü,Bengü,İkinci Hal
Yaralı,Bengü,İkinci Hal
Yaralı Kuş,Ezginin Günlügü,Dargın Mıyız
Yaramızda Kalsın,Merve Özbey,Devran
Yarım Kalan Şarkı,Göksel,Bende Bi' Aşk Var
Yaş Hikayesi,Merve Özbey,Yaş Hikayesi
Yastık,Ece Seçkin,Yastık
Yeats' Grave,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995)
Yellow,Coldplay,Parachutes
Yemin Ettim,Nilüfer,Sen Mühimsin
Yeter,Sıla,Yeni Ay
Yetinmeyi Bilir Misin?,Sezen Aksu,Yetinmeyi Bilir Misin?
Yine Yazı Bekleriz,TNK,Söyle Ruhum
Yıldızlara Bak,Yaşlı Amca,Yaşlı Amca
Yok Yok,Feride Hilal Akın,Yok Yok
Yoldan Geçen Adam,İrem Candar,Erik Ağacı
Yolun Başı,Sertab Erener,Sertab Erener
You Don't Own Me,Tamino,Sahar
you should see me in a crown,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
YUKON (INTERLUDE),Joji,YUKON (INTERLUDE)
Zaferlerim,Sertab Erener,Aşk Ölmez
Все равно,IC3PEAK,До Свидания
Işığın,Turgut Berkes,Kara Kutu
Hele Bi Başla,Yalın,Hele Bi Başla
Kanatlarım Var Ruhumda,Nil Karaibrahimgil,Kanatlarım Var Ruhumda
Çözülmez,Deniz Tekin,Çözülmez
Pus,Sufle,Pus
Koşuyolu,Nilipek.,Döngü
İhtimaller Perisi,Gökhan Türkmen,İhtimaller Perisi
Ah Be Kadın,Ömer Başçı,Ah Be Kadın
Ne Kaldı?,TikTak,Ne Kaldı?
Gözlerinde Bi'yer,Salman Tin,Gözlerinde Bi'yer
Sevgilim,Hayrettin Taşkaya,Sevgilim
Hazan Vakti,Volkan Akmehmet,Sana Bir Sır Vereceğim (Original TV Series Soundtrack)
Yaralı,Bengü,İkinci Hal
Kapıda Yalnızlık,Bengü,İkinci Hal
Olmasa Da Olur,Yalın,Sen En Güzelsin
Ayrılsak Ölürüz Biz,Ferhat Göçer,Seni Sevmeye Aşığım
Cennet,Ferhat Göçer,Yolun Açık Olsun
Hakim Bey,Mehmet Erdem,Herkes Aynı Hayatta
Kalmam,Ebru Yaşar,Kalmam
Ervah-ı Ezelde,Grup Abdal,Ervah-ı Ezelden
Sen Benim Şarkılarımsın,Cem Adrian,Sen Benim Şarkılarımsın
Çatı Katı,Gökhan Türkmen,En Baştan
Yankı,Simge,Yankı
Gün Ağardı,Murat Boz,Janti
Kıymetlim,Mustafa Ceceli,Zincirimi Kırdı Aşk
Aşk Adam Seçiyor,İlyas Yalçıntaş,İçimdeki Duman
Yatsın Yanıma,Gülden,Sen Yokken Olanlar
Aşkla Aynı Değil,Gülben Ergen,Kalbimi Koydum
Yıllarım Gitti - Kendimle Yüzleştim,Ferhat Göçer,Sığmıyorsun Geceye ve Zamana
Beni Bırakma,Fikri Karayel,Zor Zamanlar
Trenler,Fikri Karayel,Zor Zamanlar
Fırtınadayım,Mabel Matiz,Maya
Dön Bana,Cem Özkan,Kendimce
İstanbuldayım,Nil Karaibrahimgil,Ben Buraya Çıplak Geldim
Emrin Olur,Kayahan,Emrin Olur
Direniyorum,Rafet El Roman,Sevgiye Zaman Ver
Yalnız Ölmek,Can Güngör,Yalnız Ölmek
Bu Kalp Seni Unutur mu,Fikret Kızılok,Yana Yana
Otuzbeş Yaş,Hümeyra,Hümeyra (Türk Pop Tarihi)
Gün Ağarmadan,Mustafa Ceceli,Gün Ağarmadan
Bırak Gideyim,Hedonutopia,Beyaz Durak
